Study ID,Patient ID,Sample ID,NSD1: mRNA expression z-scores relative to all samples (log microarray)
brca_metabric,MB-0206,MB-0206,-0.6852
brca_metabric,MB-0207,MB-0207,-1.024
brca_metabric,MB-0209,MB-0209,-1.8288
brca_metabric,MB-0210,MB-0210,-0.9375
brca_metabric,MB-0211,MB-0211,-0.7983
brca_metabric,MB-0214,MB-0214,-0.7193
brca_metabric,MB-0215,MB-0215,-0.056
brca_metabric,MB-0218,MB-0218,0.0027
brca_metabric,MB-0220,MB-0220,-0.1863
brca_metabric,MB-0221,MB-0221,1.1944
brca_metabric,MB-0222,MB-0222,-0.4673
brca_metabric,MB-0223,MB-0223,0.1951
brca_metabric,MB-0224,MB-0224,-0.7488
brca_metabric,MB-0225,MB-0225,0.103
brca_metabric,MB-0226,MB-0226,-1.3889
brca_metabric,MB-0227,MB-0227,-1.6095
brca_metabric,MB-0228,MB-0228,-1.5139
brca_metabric,MB-0229,MB-0229,-0.3667
brca_metabric,MB-0230,MB-0230,-0.4364
brca_metabric,MB-0231,MB-0231,0.3333
brca_metabric,MB-0232,MB-0232,-0.726
brca_metabric,MB-0233,MB-0233,0.2804
brca_metabric,MB-0234,MB-0234,-1.305
brca_metabric,MB-0235,MB-0235,-1.2966
brca_metabric,MB-0236,MB-0236,-1.0533
brca_metabric,MB-0238,MB-0238,0.1366
brca_metabric,MB-0239,MB-0239,-0.0112
brca_metabric,MB-0241,MB-0241,-0.45
brca_metabric,MB-0242,MB-0242,-0.8607
brca_metabric,MB-0243,MB-0243,-0.9536
brca_metabric,MB-0244,MB-0244,0.445
brca_metabric,MB-0245,MB-0245,0.7196
brca_metabric,MB-0247,MB-0247,-0.7213
brca_metabric,MB-0248,MB-0248,0.0171
brca_metabric,MB-0249,MB-0249,-0.8658
brca_metabric,MB-0253,MB-0253,0.0585
brca_metabric,MB-0256,MB-0256,-0.6118
brca_metabric,MB-0257,MB-0257,0.4569
brca_metabric,MB-0258,MB-0258,-0.1261
brca_metabric,MB-0259,MB-0259,-1.3865
brca_metabric,MB-0260,MB-0260,-1.0194
brca_metabric,MB-0261,MB-0261,0.0478
brca_metabric,MB-0262,MB-0262,-0.6391
brca_metabric,MB-0263,MB-0263,-1.8303
brca_metabric,MB-0264,MB-0264,-0.5976
brca_metabric,MB-0265,MB-0265,-0.3547
brca_metabric,MB-0266,MB-0266,-0.6653
brca_metabric,MB-0268,MB-0268,-1.1246
brca_metabric,MB-0269,MB-0269,-1.1278
brca_metabric,MB-0270,MB-0270,-0.8084
brca_metabric,MB-0272,MB-0272,-0.6576
brca_metabric,MB-0273,MB-0273,-1.0824
brca_metabric,MB-0275,MB-0275,-0.6307
brca_metabric,MB-0278,MB-0278,-1.0239
brca_metabric,MB-0279,MB-0279,-0.716
brca_metabric,MB-0280,MB-0280,2.1366
brca_metabric,MB-0281,MB-0281,-1.8763
brca_metabric,MB-0282,MB-0282,-0.8439
brca_metabric,MB-0283,MB-0283,-0.9356
brca_metabric,MB-0284,MB-0284,-1.3099
brca_metabric,MB-0285,MB-0285,-0.9624
brca_metabric,MB-0286,MB-0286,-1.7829
brca_metabric,MB-0287,MB-0287,-0.593
brca_metabric,MB-0288,MB-0288,-1.5291
brca_metabric,MB-0289,MB-0289,-1.8893
brca_metabric,MB-0290,MB-0290,-0.8889
brca_metabric,MB-0291,MB-0291,-0.6883
brca_metabric,MB-0292,MB-0292,-0.9029
brca_metabric,MB-0293,MB-0293,-0.751
brca_metabric,MB-0294,MB-0294,-0.6985
brca_metabric,MB-0295,MB-0295,-0.9075
brca_metabric,MB-0299,MB-0299,-2.1429
brca_metabric,MB-0301,MB-0301,-0.9831
brca_metabric,MB-0302,MB-0302,-1.3458
brca_metabric,MB-0303,MB-0303,-0.6804
brca_metabric,MB-0304,MB-0304,0.0269
brca_metabric,MB-0305,MB-0305,-1.6425
brca_metabric,MB-0306,MB-0306,-0.3453
brca_metabric,MB-0307,MB-0307,-0.1373
brca_metabric,MB-0308,MB-0308,0.2181
brca_metabric,MB-0309,MB-0309,-0.5169
brca_metabric,MB-0310,MB-0310,-1.2635
brca_metabric,MB-0311,MB-0311,-0.3003
brca_metabric,MB-0312,MB-0312,-0.816
brca_metabric,MB-0313,MB-0313,0.3104
brca_metabric,MB-0314,MB-0314,-1.7606
brca_metabric,MB-0315,MB-0315,-1.4917
brca_metabric,MB-0316,MB-0316,-0.3288
brca_metabric,MB-0317,MB-0317,1.2408
brca_metabric,MB-0318,MB-0318,0.0182
brca_metabric,MB-0319,MB-0319,1.0042
brca_metabric,MB-0320,MB-0320,-0.2699
brca_metabric,MB-0321,MB-0321,0.1107
brca_metabric,MB-0322,MB-0322,-0.62
brca_metabric,MB-0324,MB-0324,-0.8224
brca_metabric,MB-0325,MB-0325,0.7894
brca_metabric,MB-0326,MB-0326,NA
brca_metabric,MB-0327,MB-0327,-0.3179
brca_metabric,MB-0328,MB-0328,-0.8838
brca_metabric,MB-0329,MB-0329,NA
brca_metabric,MB-0333,MB-0333,-0.494
brca_metabric,MB-0336,MB-0336,0.1755
brca_metabric,MB-0339,MB-0339,-0.4341
brca_metabric,MB-0340,MB-0340,-0.904
brca_metabric,MB-0341,MB-0341,-0.664
brca_metabric,MB-0342,MB-0342,-0.9814
brca_metabric,MB-0343,MB-0343,-0.9996
brca_metabric,MB-0344,MB-0344,-0.9521
brca_metabric,MB-0345,MB-0345,0.7799
brca_metabric,MB-0346,MB-0346,2.2736
brca_metabric,MB-0347,MB-0347,0.4622
brca_metabric,MB-0348,MB-0348,0.7556
brca_metabric,MB-0349,MB-0349,0.4942
brca_metabric,MB-0350,MB-0350,0.0973
brca_metabric,MB-0351,MB-0351,-0.1856
brca_metabric,MB-0352,MB-0352,-0.0696
brca_metabric,MB-0353,MB-0353,-0.8626
brca_metabric,MB-0354,MB-0354,0.4228
brca_metabric,MB-0356,MB-0356,-0.9155
brca_metabric,MB-0358,MB-0358,0.1228
brca_metabric,MB-0359,MB-0359,-0.0274
brca_metabric,MB-0360,MB-0360,-0.0725
brca_metabric,MB-0361,MB-0361,-1.2236
