sample,NSD1
TCGA-A8-A083-01,11.7
TCGA-AC-A2FB-01,11.7
TCGA-AR-A24X-01,11.7
TCGA-BH-A201-01,11.7
TCGA-E9-A1RD-01,11.7
TCGA-E9-A2JT-01,11.7
TCGA-EW-A1PB-01,11.7
TCGA-AR-A1AJ-01,11.69
TCGA-AC-A6IX-01,11.69
TCGA-BH-A0BW-11,11.68
TCGA-A8-A06O-01,11.68
TCGA-A8-A07S-01,11.68
TCGA-AR-A0U2-01,11.68
TCGA-AR-A0U0-01,11.68
TCGA-D8-A27L-01,11.68
TCGA-D8-A27P-01,11.68
TCGA-BH-A0BV-11,11.67
TCGA-A8-A06N-01,11.67
TCGA-BH-A18V-01,11.67
TCGA-AO-A0JA-01,11.67
TCGA-A2-A1G0-01,11.67
TCGA-AC-A2FF-11,11.66
TCGA-A2-A0YK-01,11.66
TCGA-A8-A092-01,11.66
TCGA-AC-A6IX-06,11.65
TCGA-A8-A09X-01,11.65
TCGA-AN-A049-01,11.65
TCGA-A2-A0YM-01,11.65
TCGA-A8-A07R-01,11.65
TCGA-E2-A159-01,11.65
TCGA-A8-A0A1-01,11.65
TCGA-AR-A24O-01,11.65
TCGA-E9-A24A-01,11.65
TCGA-EW-A1J5-01,11.65
TCGA-E2-A15E-06,11.64
TCGA-BH-A0BJ-11,11.64
TCGA-A8-A09C-01,11.64
TCGA-BH-A1EW-01,11.64
TCGA-D8-A140-01,11.64
TCGA-A7-A26H-01,11.64
TCGA-BH-A18R-11,11.63
TCGA-E2-A10A-01,11.63
TCGA-AR-A0TW-01,11.63
TCGA-BH-A0BP-01,11.63
TCGA-E2-A15E-01,11.63
TCGA-A7-A2KD-01,11.63
TCGA-D8-A1XU-01,11.63
TCGA-D8-A27G-01,11.63
TCGA-BH-A0C0-11,11.62
TCGA-BH-A1FU-11,11.62
TCGA-A8-A075-01,11.62
TCGA-A8-A0A7-01,11.62
TCGA-AR-A1AX-01,11.62
TCGA-AQ-A0Y5-01,11.62
TCGA-D8-A27I-01,11.62
TCGA-BH-A0B7-11,11.61
TCGA-BH-A1EV-11,11.61
TCGA-AR-A0TT-01,11.61
TCGA-BH-A18F-01,11.61
TCGA-A8-A099-01,11.61
TCGA-D8-A1JH-01,11.61
TCGA-D8-A1JJ-01,11.61
TCGA-D8-A27W-01,11.61
TCGA-A2-A0YL-01,11.6
TCGA-AR-A24K-01,11.6
TCGA-AR-A2LO-01,11.6
TCGA-BH-A1FB-01,11.6
TCGA-D8-A1JF-01,11.6
TCGA-GM-A3XL-01,11.6
TCGA-E2-A15A-06,11.59
TCGA-A8-A08I-01,11.59
TCGA-AR-A1AI-01,11.59
TCGA-AR-A251-01,11.59
TCGA-BH-A0H5-11,11.58
TCGA-B6-A0IK-01,11.58
TCGA-B6-A0IC-01,11.58
TCGA-BH-A0AU-01,11.58
TCGA-BH-A1FE-01,11.58
TCGA-EW-A1P0-01,11.58
TCGA-BH-A0HA-11,11.57
TCGA-A2-A0CW-01,11.57
TCGA-A8-A097-01,11.57
TCGA-A2-A0EV-01,11.57
TCGA-A8-A093-01,11.57
TCGA-E2-A156-01,11.57
TCGA-D8-A1XO-01,11.57
TCGA-D8-A27F-01,11.57
TCGA-E9-A1NE-01,11.57
TCGA-EW-A1IW-01,11.57
TCGA-BH-A0AZ-11,11.56
TCGA-BH-A0DQ-11,11.56
TCGA-A8-A08J-01,11.56
TCGA-AR-A0U3-01,11.56
TCGA-A8-A07C-01,11.56
TCGA-A2-A0EW-01,11.56
TCGA-A7-A0DB-01,11.56
TCGA-AR-A1AL-01,11.56
TCGA-BH-A0E7-01,11.56
TCGA-A2-A25A-01,11.56
TCGA-AR-A2LM-01,11.56
TCGA-C8-A274-01,11.56
TCGA-D8-A1XS-01,11.56
TCGA-E2-A1L7-01,11.56
TCGA-BH-A1ET-11,11.55
TCGA-AN-A0AS-01,11.55
TCGA-AQ-A04H-01,11.55
TCGA-A1-A0SH-01,11.55
TCGA-AN-A0XN-01,11.55
TCGA-E2-A105-01,11.55
TCGA-B6-A1KN-01,11.55
TCGA-A2-A0T6-01,11.54
TCGA-BH-A0H9-01,11.54
TCGA-AC-A23E-01,11.54
TCGA-D8-A1JE-01,11.54
TCGA-E2-A1II-01,11.54
TCGA-EW-A1IX-01,11.54
TCGA-BH-A0BQ-11,11.53
TCGA-E9-A1RB-11,11.53
TCGA-A1-A0SE-01,11.53
TCGA-BH-A1FH-01,11.53
TCGA-E9-A1RH-01,11.53
TCGA-A8-A096-01,11.52
TCGA-E2-A1AZ-01,11.52
TCGA-E2-A1L6-01,11.52
TCGA-E9-A1RF-01,11.52
TCGA-LQ-A4E4-01,11.52
TCGA-BH-A0AU-11,11.51
TCGA-B6-A0IP-01,11.51
