sample,NSD1
TCGA-BH-A28O-01,11.02
TCGA-D8-A1JI-01,11.02
TCGA-D8-A73U-01,11.02
TCGA-EW-A1P1-01,11.02
TCGA-AC-A2FB-11,11.01
TCGA-BH-A1FN-11,11.01
TCGA-E2-A15M-11,11.01
TCGA-A8-A08L-01,11.01
TCGA-E2-A14P-01,11.01
TCGA-A2-A0YJ-01,11.01
TCGA-A2-A04Y-01,11.01
TCGA-A2-A0EO-01,11.01
TCGA-B6-A0RM-01,11.01
TCGA-BH-A0GY-01,11.01
TCGA-A7-A26G-01,11.01
TCGA-BH-A208-01,11.01
TCGA-C8-A27A-01,11.01
TCGA-XX-A89A-01,11.01
TCGA-BH-A0AY-01,11
TCGA-A1-A0SJ-01,11
TCGA-A2-A0D3-01,11
TCGA-AN-A0XS-01,11
TCGA-B6-A0RN-01,11
TCGA-E2-A1BD-01,11
TCGA-C8-A26Y-01,11
TCGA-D8-A1JN-01,11
TCGA-D8-A1XV-01,11
TCGA-E9-A227-01,11
TCGA-BH-A18L-11,10.99
TCGA-A2-A0D0-01,10.99
TCGA-AO-A12A-01,10.99
TCGA-A7-A3J0-01,10.99
TCGA-AC-A3W6-01,10.99
TCGA-GM-A3NW-01,10.99
TCGA-BH-A204-11,10.98
TCGA-GI-A2C9-11,10.98
TCGA-BH-A0B3-01,10.98
TCGA-AO-A12H-01,10.98
TCGA-BH-A0BC-01,10.98
TCGA-A2-A1G6-01,10.98
TCGA-EW-A423-01,10.98
TCGA-BH-A0DT-01,10.97
TCGA-A8-A09K-01,10.97
TCGA-D8-A1Y2-01,10.97
TCGA-BH-A0BC-11,10.96
TCGA-BH-A1FD-11,10.96
TCGA-B6-A0X5-01,10.96
TCGA-AC-A5EH-01,10.96
TCGA-E2-A1IH-01,10.96
TCGA-BH-A0BS-11,10.95
TCGA-C8-A12L-01,10.95
TCGA-C8-A135-01,10.95
TCGA-AN-A0XL-01,10.95
TCGA-D8-A73W-01,10.95
TCGA-BH-A1FJ-11,10.94
TCGA-AO-A03U-01,10.94
TCGA-AR-A1AQ-01,10.94
TCGA-A2-A0EX-01,10.94
TCGA-AO-A0J8-01,10.94
TCGA-A1-A0SQ-01,10.94
TCGA-A2-A3Y0-01,10.94
TCGA-E9-A1QZ-01,10.94
TCGA-EW-A3U0-01,10.94
TCGA-EW-A6SB-01,10.94
TCGA-BH-A18S-11,10.93
TCGA-BH-A1F8-11,10.93
TCGA-C8-A12K-01,10.93
TCGA-BH-A1FR-01,10.93
TCGA-C8-A275-01,10.93
TCGA-D8-A1Y1-01,10.93
TCGA-D8-A73X-01,10.93
TCGA-EW-A2FW-01,10.93
TCGA-BH-A0AY-11,10.92
TCGA-BH-A0H7-11,10.92
TCGA-A2-A0YD-01,10.92
TCGA-BH-A0H7-01,10.92
TCGA-4H-AAAK-01,10.92
TCGA-EW-A1PD-01,10.92
TCGA-BH-A0HK-11,10.91
TCGA-AN-A0FF-01,10.91
TCGA-A7-A13E-01,10.91
TCGA-3C-AALI-01,10.91
TCGA-A1-A0SF-01,10.91
TCGA-A2-A3XS-01,10.91
TCGA-A7-A4SD-01,10.91
TCGA-AO-A1KP-01,10.91
TCGA-MS-A51U-01,10.91
TCGA-A2-A0CM-01,10.9
TCGA-AC-A6IV-01,10.9
TCGA-E2-A14U-01,10.9
TCGA-OL-A5D7-01,10.9
TCGA-PE-A5DE-01,10.9
TCGA-S3-AA17-01,10.9
TCGA-BH-A0EE-01,10.89
TCGA-A2-A0CT-01,10.89
TCGA-C8-A12V-01,10.89
TCGA-A2-A0T5-01,10.89
TCGA-A2-A4S0-01,10.89
TCGA-E2-A1IJ-01,10.89
TCGA-E2-A1LH-01,10.89
TCGA-BH-A0E0-11,10.88
TCGA-A8-A07Z-01,10.88
TCGA-A2-A0EU-01,10.88
TCGA-BH-A0DP-01,10.88
TCGA-AR-A2LH-01,10.88
TCGA-E2-A1LE-01,10.88
TCGA-AN-A0XR-01,10.87
TCGA-B6-A0X4-01,10.87
TCGA-C8-A26W-01,10.87
TCGA-D8-A3Z6-01,10.87
TCGA-PL-A8LZ-01,10.87
TCGA-S3-AA10-01,10.87
TCGA-S3-AA15-01,10.87
TCGA-BH-A0DZ-11,10.86
TCGA-BH-A1F0-11,10.86
TCGA-BH-A0E2-01,10.86
TCGA-BH-A1F8-01,10.86
TCGA-E9-A22D-01,10.86
TCGA-OK-A5Q2-01,10.86
TCGA-A7-A0CE-11,10.85
TCGA-A2-A0CQ-01,10.85
TCGA-A2-A4S2-01,10.85
TCGA-AC-A2FM-01,10.85
TCGA-E2-A1IG-01,10.85
TCGA-PL-A8LY-01,10.85
TCGA-C8-A1HL-01,10.84
TCGA-AN-A0AT-01,10.84
TCGA-B6-A0IJ-01,10.84
TCGA-E9-A54X-01,10.84
TCGA-JL-A3YX-01,10.84
TCGA-OL-A6VQ-01,10.84
TCGA-A1-A0SO-01,10.83
TCGA-AR-A0TP-01,10.83
TCGA-E2-A150-01,10.83
TCGA-AO-A12G-01,10.83
TCGA-BH-A0AZ-01,10.83
TCGA-A7-A4SB-01,10.83
TCGA-AC-A23G-01,10.83
TCGA-AC-A8OR-01,10.83
TCGA-D8-A3Z5-01,10.83
TCGA-EW-A6SC-01,10.83
TCGA-A2-A0T4-01,10.82
TCGA-A2-A3XT-01,10.82
TCGA-GM-A2D9-01,10.82
TCGA-A2-A04R-01,10.81
TCGA-3C-AALK-01,10.81
TCGA-OL-A5D8-01,10.81
TCGA-S3-A6ZH-01,10.81
TCGA-A2-A0T1-01,10.8
TCGA-C8-A138-01,10.8
TCGA-A8-A06R-01,10.8
TCGA-BH-A0BG-01,10.8
TCGA-E2-A1B5-01,10.8
TCGA-C8-A1HI-01,10.8
TCGA-EW-A1OY-01,10.8
TCGA-EW-A1PC-01,10.8
TCGA-LD-A7W6-01,10.8
TCGA-B6-A0RS-01,10.79
TCGA-BH-A0BQ-01,10.79
TCGA-BH-A0DE-01,10.79
TCGA-A1-A0SI-01,10.79
TCGA-LD-A7W5-01,10.79
TCGA-BH-A1FH-11,10.78
TCGA-C8-A12Y-01,10.78
TCGA-C8-A3M7-01,10.78
TCGA-E9-A1NG-11,10.77
TCGA-A2-A0EY-01,10.77
TCGA-A8-A09Z-01,10.77
TCGA-A2-A0D2-01,10.77
TCGA-B6-A0RE-01,10.77
TCGA-A2-A3KC-01,10.77
TCGA-E2-A1LI-01,10.77
TCGA-EW-A1OZ-01,10.77
TCGA-GM-A2DC-01,10.77
TCGA-GM-A2DN-01,10.77
TCGA-BH-A0C0-01,10.76
TCGA-C8-A1HG-01,10.76
TCGA-A2-A25B-01,10.76
TCGA-C8-A12U-01,10.75
TCGA-C8-A1HN-01,10.75
TCGA-AR-A1AS-01,10.75
TCGA-A2-A0EP-01,10.75
TCGA-A2-A25D-01,10.75
TCGA-A2-A25E-01,10.75
TCGA-B6-A40C-01,10.75
TCGA-BH-A42V-01,10.75
TCGA-EW-A6SD-01,10.75
TCGA-AO-A126-01,10.74
TCGA-BH-A0DK-01,10.74
TCGA-5L-AAT1-01,10.74
TCGA-E2-A1LB-01,10.74
TCGA-C8-A12X-01,10.73
TCGA-BH-A0E0-01,10.73
TCGA-B6-A0RG-01,10.73
TCGA-B6-A0RO-01,10.73
TCGA-A2-A4S3-01,10.73
TCGA-BH-A0DV-01,10.73
TCGA-BH-A1FC-01,10.73
TCGA-D8-A27N-01,10.73
TCGA-E9-A1NI-01,10.73
TCGA-GM-A2DA-01,10.73
TCGA-OL-A5RZ-01,10.73
TCGA-A2-A04X-01,10.72
TCGA-AR-A1AH-01,10.72
TCGA-C8-A134-01,10.72
TCGA-GM-A2DF-01,10.72
TCGA-LL-A73Z-01,10.72
TCGA-AO-A0JE-01,10.71
TCGA-A2-A04N-01,10.71
TCGA-BH-A0B4-01,10.71
TCGA-BH-A0BM-01,10.71
TCGA-BH-A0BO-01,10.71
TCGA-BH-A0HI-01,10.71
TCGA-AC-A8OQ-01,10.71
TCGA-GM-A3NY-01,10.71
TCGA-OL-A5RY-01,10.71
TCGA-BH-A0HF-01,10.7
TCGA-E2-A1B4-01,10.7
TCGA-A7-A5ZV-01,10.7
TCGA-D8-A1XY-01,10.7
TCGA-B6-A0RH-01,10.69
TCGA-AN-A0AL-01,10.69
TCGA-B6-A400-01,10.69
TCGA-HN-A2NL-01,10.69
TCGA-OL-A5RX-01,10.69
TCGA-B6-A0IN-01,10.68
TCGA-C8-A12N-01,10.68
TCGA-OL-A6VR-01,10.68
TCGA-E2-A1BC-11,10.67
TCGA-C8-A1HF-01,10.67
TCGA-AO-A0J3-01,10.67
TCGA-E2-A10C-01,10.67
TCGA-A2-A0CP-01,10.67
TCGA-B6-A0RP-01,10.67
TCGA-BH-A0B6-01,10.67
TCGA-BH-A42T-01,10.67
TCGA-C8-A8HP-01,10.67
TCGA-E2-A2P6-01,10.67
TCGA-GM-A2DD-01,10.67
TCGA-C8-A133-01,10.66
TCGA-E9-A1NG-01,10.66
TCGA-EW-A1OW-01,10.66
TCGA-BH-A0DH-11,10.65
TCGA-A7-A3RF-01,10.65
TCGA-C8-A1HJ-01,10.65
TCGA-EW-A1J6-01,10.65
TCGA-B6-A40B-01,10.64
TCGA-LD-A9QF-01,10.64
TCGA-A2-A0CV-01,10.63
TCGA-AC-A3BB-01,10.63
TCGA-BH-A1FJ-01,10.63
TCGA-E9-A244-01,10.63
TCGA-AN-A04C-01,10.62
TCGA-AN-A0FK-01,10.62
TCGA-B6-A0IQ-01,10.62
TCGA-BH-A0H6-01,10.62
TCGA-AC-A3EH-01,10.62
TCGA-E9-A5UO-01,10.62
TCGA-BH-A1FC-11,10.61
TCGA-A2-A04U-01,10.61
TCGA-LL-A5YP-01,10.61
TCGA-A2-A0SW-01,10.6
TCGA-AN-A0XW-01,10.6
TCGA-AN-A0FN-01,10.6
TCGA-A2-A0CK-01,10.59
TCGA-A7-A6VY-01,10.59
TCGA-E9-A5UP-01,10.59
TCGA-GI-A2C9-01,10.59
TCGA-OL-A5D6-01,10.59
TCGA-BH-A0GZ-01,10.58
TCGA-AC-A3YI-01,10.58
TCGA-E9-A1NF-01,10.58
TCGA-AO-A0JJ-01,10.57
TCGA-B6-A0I5-01,10.57
TCGA-BH-A0HA-01,10.57
TCGA-BH-A0HK-01,10.57
TCGA-A2-A3XU-01,10.57
TCGA-BH-A1FM-01,10.57
TCGA-W8-A86G-01,10.57
TCGA-A7-A0CH-11,10.56
TCGA-A7-A426-01,10.56
TCGA-D8-A1JT-01,10.56
TCGA-E2-A1IP-01,10.56
TCGA-AO-A129-01,10.55
TCGA-GM-A2DK-01,10.55
TCGA-LL-A8F5-01,10.55
TCGA-A8-A094-01,10.54
TCGA-BH-A0AW-01,10.53
TCGA-A7-A5ZW-01,10.53
TCGA-GM-A5PV-01,10.53
TCGA-A8-A09W-01,10.52
TCGA-EW-A1P3-01,10.52
TCGA-AC-A7VC-01,10.51
TCGA-BH-A5IZ-01,10.51
TCGA-E2-A1IK-01,10.51
TCGA-A2-A0T2-01,10.5
TCGA-D8-A142-01,10.5
TCGA-BH-A0BV-01,10.5
TCGA-E2-A153-01,10.5
TCGA-A7-A4SA-01,10.5
TCGA-E2-A1IF-01,10.5
TCGA-E2-A1LL-01,10.5
TCGA-GM-A3XG-01,10.49
TCGA-A8-A07O-01,10.48
TCGA-AN-A0XV-01,10.48
TCGA-BH-A5J0-01,10.48
TCGA-D8-A1XZ-01,10.48
TCGA-E9-A22E-01,10.48
TCGA-EW-A2FS-01,10.48
TCGA-AC-A2BK-01,10.47
TCGA-B6-A1KF-01,10.47
TCGA-S3-AA12-01,10.47
TCGA-AO-A125-01,10.46
TCGA-A7-A5ZX-01,10.46
TCGA-D8-A1XW-01,10.46
TCGA-EW-A1PA-01,10.46
TCGA-E2-A15K-11,10.45
TCGA-AO-A03R-01,10.45
TCGA-BH-A18S-01,10.45
TCGA-5T-A9QA-01,10.45
TCGA-A7-A3IY-01,10.45
TCGA-BH-A8FZ-01,10.45
TCGA-E2-A56Z-01,10.45
TCGA-E2-A576-01,10.45
TCGA-PE-A5DC-01,10.45
TCGA-AO-A03T-01,10.44
TCGA-AO-A0JL-01,10.44
TCGA-AO-A1KQ-01,10.44
TCGA-B6-A0IB-01,10.43
TCGA-AN-A0AR-01,10.43
TCGA-B6-A0WZ-01,10.43
TCGA-AC-A6IW-01,10.43
TCGA-GM-A2DO-01,10.43
TCGA-OL-A5RU-01,10.43
TCGA-A2-A3XW-01,10.42
TCGA-C8-A26X-01,10.42
TCGA-E9-A3QA-01,10.42
TCGA-BH-A0HB-01,10.41
TCGA-OL-A5RW-01,10.41
TCGA-C8-A130-01,10.4
TCGA-D8-A1JP-01,10.4
TCGA-E2-A1LK-01,10.4
TCGA-AO-A03N-01,10.39
TCGA-A2-A0CR-01,10.39
TCGA-E2-A573-01,10.39
TCGA-JL-A3YW-01,10.39
TCGA-OL-A66H-01,10.39
TCGA-E9-A1ND-11,10.38
TCGA-A2-A04Q-01,10.38
TCGA-A2-A0CX-01,10.37
TCGA-B6-A0IO-01,10.37
TCGA-A2-A4S1-01,10.37
TCGA-AR-A5QN-01,10.37
TCGA-EW-A424-01,10.37
TCGA-BH-A0E6-01,10.36
TCGA-E9-A3Q9-01,10.34
TCGA-BH-A0RX-01,10.33
TCGA-A2-A04W-01,10.32
TCGA-B6-A0WX-01,10.32
TCGA-EW-A3E8-01,10.32
TCGA-AN-A0FD-01,10.31
TCGA-E2-A158-01,10.3
TCGA-A7-A13F-01,10.29
TCGA-E2-A1L8-01,10.29
TCGA-E9-A22B-01,10.29
TCGA-B6-A0I2-01,10.28
TCGA-A2-A0CS-01,10.28
TCGA-A2-A3XX-01,10.28
TCGA-AC-A5XU-01,10.28
TCGA-BH-A6R8-01,10.28
TCGA-BH-A0DS-01,10.27
TCGA-E2-A9RU-01,10.27
TCGA-LD-A66U-01,10.27
TCGA-AC-A5XS-01,10.26
TCGA-B6-A2IU-01,10.25
TCGA-D8-A1XQ-01,10.25
TCGA-WT-AB44-01,10.25
TCGA-AN-A0FJ-01,10.24
TCGA-A8-A09E-01,10.24
TCGA-B6-A409-01,10.24
TCGA-E9-A22G-01,10.24
TCGA-LL-A6FQ-01,10.24
TCGA-BH-A18V-11,10.23
TCGA-BH-A1FG-01,10.23
TCGA-BH-A42U-01,10.23
TCGA-AO-A1KR-01,10.22
TCGA-GM-A4E0-01,10.22
TCGA-AR-A2LJ-01,10.21
TCGA-C8-A1HM-01,10.2
TCGA-C8-A131-01,10.2
TCGA-AN-A03X-01,10.2
TCGA-AC-A62Y-01,10.2
TCGA-AC-A3QP-01,10.19
TCGA-E9-A5FK-01,10.19
TCGA-BH-A1FG-11,10.18
TCGA-BH-A0DZ-01,10.18
TCGA-D8-A1XL-01,10.18
TCGA-E9-A1NC-01,10.18
TCGA-LL-A9Q3-01,10.18
TCGA-AC-A3YJ-01,10.17
TCGA-AR-A5QQ-01,10.17
TCGA-AQ-A04L-01,10.16
TCGA-AC-A3TN-01,10.16
TCGA-AQ-A54N-01,10.16
TCGA-C8-A8HR-01,10.16
TCGA-D8-A1Y3-01,10.16
TCGA-E9-A3HO-01,10.16
TCGA-BH-A0BF-01,10.15
TCGA-BH-A0HN-01,10.15
TCGA-BH-A1EO-11,10.12
TCGA-AO-A0JB-01,10.12
TCGA-A7-A0CE-01,10.11
TCGA-E2-A570-01,10.08
TCGA-BH-A18G-01,10.07
TCGA-AO-A0J2-01,10.06
TCGA-A7-A4SF-01,10.06
TCGA-AC-A3TM-01,10.06
TCGA-D8-A1JK-01,10.06
TCGA-LL-A50Y-01,10.03
TCGA-LL-A7SZ-01,10.02
TCGA-E2-A1LS-01,10.01
TCGA-OL-A66K-01,10.01
TCGA-B6-A401-01,9.999
TCGA-E9-A54Y-01,9.996
TCGA-E2-A1LA-01,9.974
TCGA-AN-A0FL-01,9.963
TCGA-LL-A5YN-01,9.946
TCGA-BH-A0H9-11,9.929
TCGA-AC-A62X-01,9.918
TCGA-AC-A2FM-11,9.912
TCGA-E9-A6HE-01,9.899
TCGA-D8-A1JS-01,9.895
TCGA-LL-A6FP-01,9.885
TCGA-Z7-A8R5-01,9.873
TCGA-AC-A3QQ-01,9.847
TCGA-LL-A5YL-01,9.843
TCGA-B6-A0IE-01,9.842
TCGA-B6-A0IA-01,9.839
TCGA-BH-A0BT-01,9.818
TCGA-E9-A1RG-01,9.817
TCGA-OL-A5S0-01,9.815
TCGA-E2-A14O-01,9.792
TCGA-A7-A56D-01,9.775
TCGA-E9-A22A-01,9.765
TCGA-BH-A1ES-06,9.758
TCGA-OL-A66P-01,9.742
TCGA-OL-A66J-01,9.738
TCGA-E2-A574-01,9.712
TCGA-GM-A5PX-01,9.71
TCGA-UU-A93S-01,9.702
TCGA-AC-A2QJ-01,9.606
TCGA-V7-A7HQ-01,9.597
TCGA-AC-A62V-01,9.579
TCGA-OL-A66O-01,9.578
TCGA-AR-A0TY-01,9.565
TCGA-AN-A0FT-01,9.562
TCGA-E2-A1B6-01,9.553
TCGA-OL-A66N-01,9.538
TCGA-E2-A572-01,9.473
TCGA-B6-A0I1-01,9.465
TCGA-OL-A66L-01,9.438
TCGA-AQ-A54O-01,9.4
TCGA-A2-A3XV-01,9.399
TCGA-LL-A5YM-01,9.379
TCGA-E2-A14R-01,9.328
TCGA-E9-A3X8-01,9.297
TCGA-WT-AB41-01,9.074
TCGA-LL-A6FR-01,8.923
TCGA-A7-A4SA-11,
TCGA-A7-A4SC-11,
TCGA-A7-A4SD-11,
TCGA-A7-A4SE-11,
TCGA-AC-A2FG-11,
TCGA-BH-A0BF-11,
TCGA-BH-A0BL-11,
TCGA-BH-A0BO-11,
TCGA-BH-A0DE-11,
TCGA-BH-A0DI-11,
TCGA-BH-A18F-11,
TCGA-BH-A1ES-11,
TCGA-BH-A1EY-11,
TCGA-BH-A1F5-11,
TCGA-E2-A14Y-11,
TCGA-E2-A15L-11,
TCGA-E2-A1B5-11,
TCGA-E2-A1IF-11,
TCGA-E2-A1II-11,
TCGA-E2-A1IO-11,
TCGA-E2-A1LI-11,
TCGA-E9-A1N8-11,
TCGA-E9-A1NE-11,
TCGA-E9-A1NH-11,
TCGA-XX-A899-11,
TCGA-AC-A5EI-01,
TCGA-AN-A0FE-01,
TCGA-AN-A0FG-01,
TCGA-C8-A9FZ-01,
